Code,State,January,Feburary,March,April,May,June,July
AL,Alabama,0,0,987,7088,17952,38045,81115
AK,Alaska,0,0,119,355,459,937,2623
AZ,Arizona,1,1,1289,7655,19936,79228,163827
AR,Arkansas,0,0,523,3281,7253,20777,39447
CA,California,3,12,8233,50130,111951,231418,458121
CO,Colorado,0,0,2966,15284,26364,32698,44547
CT,Connecticut,0,0,3128,27700,42201,46514,48983
DE,Delaware,0,0,319,4734,9498,11474,14406
DC,District of Columbia,0,0,495,4323,8801,10327,11780
FL,Florida,0,0,6741,33690,56163,152434,432747
GA,Georgia,0,0,3929,26264,47063,81291,170843
HI,Hawaii,0,0,204,618,652,917,1711
ID,Idaho,0,0,515,1984,2839,6117,18692
IL,Illinois,2,2,5994,52918,120260,143185,173894
IN,Indiana,0,0,2158,17835,34574,45594,62907
IA,Iowa,0,0,497,7145,19552,29074,42696
KS,Kansas,0,0,434,4413,9700,14370,25804
KY,Kentucky,0,0,628,4708,9704,15624,27586
LA,Louisiana,0,0,5237,28001,39916,58095,109917
ME,Maine,0,0,303,1095,2325,3253,3832
MD,Maryland,0,0,1660,21742,52778,67559,84876
MA,Massachusetts,0,1,6620,63211,100468,108882,115926
MI,Michigan,0,0,7951,43478,62711,70728,87173
MN,Minnesota,0,0,629,5136,24850,36303,51803
MS,Mississippi,0,0,937,6815,15523,27247,52781
MO,Missouri,0,0,1550,7956,13573,21812,43489
MT,Montana,0,0,198,453,515,967,3380
NE,Nebraska,0,0,172,4281,14101,19177,24899
NV,Nevada,0,0,1114,5053,8628,18456,43831
NH,New Hampshire,0,0,357,2146,4651,5782,6441
NJ,New Jersey,0,0,18696,118652,160445,171667,179812
NM,New Mexico,0,0,315,3411,7689,12147,19502
NY,New York,0,0,75833,304372,370770,393454,412344
NC,North Carolina,0,0,1535,10754,28785,65327,114916
ND,North Dakota,0,0,122,1067,2577,3576,5986
OH,Ohio,0,0,2199,18027,35513,51789,85177
OK,Oklahoma,0,0,568,3618,6418,13757,32685
OR,Oregon,0,1,690,2510,4243,8656,17088
PA,Pennsylvania,0,0,4963,47971,76129,91139,112995
RI,Rhode Island,0,0,488,8621,14928,16813,18515
SC,South Carolina,0,0,1083,6095,11861,36399,82417
SD,South Dakota,0,0,108,2449,4993,6764,8444
TN,Tennessee,0,0,2391,10735,22566,43509,96489
TX,Texas,0,0,3809,28727,64652,163060,400336
UT,Utah,0,0,888,4672,9797,22217,38409
VT,Vermont,0,0,293,866,981,1208,1402
VA,Virginia,0,0,1249,15847,44607,62787,86072
WA,Washington,1,7,5432,14327,21702,32824,53321
WV,West Virginia,0,0,162,1125,2010,2905,5999
WI,Wisconsin,0,0,1412,6854,18403,28659,49417
WY,Wyoming,0,0,109,559,903,1487,2520
